SPEC,Species,COU,Country,Value
FISH_TOT,Fish,AUS,Australia,48
MARINE_F,Marine Fish,AUS,Australia,13
FRESHW_F,Freshwater Fish,AUS,Australia,35
FISH_TOT,Fish,AUT,Austria,39
MARINE_F,Marine Fish,AUT,Austria,0
FRESHW_F,Freshwater Fish,AUT,Austria,39
FISH_TOT,Fish,BEL,Belgium,29
MARINE_F,Marine Fish,BEL,Belgium,14
FRESHW_F,Freshwater Fish,BEL,Belgium,15
FISH_TOT,Fish,CAN,Canada,88
MARINE_F,Marine Fish,CAN,Canada,52
FRESHW_F,Freshwater Fish,CAN,Canada,36
FISH_TOT,Fish,CZE,Czech Republic,27
MARINE_F,Marine Fish,CZE,Czech Republic,0
FRESHW_F,Freshwater Fish,CZE,Czech Republic,27
FISH_TOT,Fish,DNK,Denmark,8
MARINE_F,Marine Fish,DNK,Denmark,0
FRESHW_F,Freshwater Fish,DNK,Denmark,8
FISH_TOT,Fish,EST,Estonia,6
MARINE_F,Marine Fish,EST,Estonia,2
FRESHW_F,Freshwater Fish,EST,Estonia,5
FISH_TOT,Fish,FIN,Finland,12
MARINE_F,Marine Fish,FIN,Finland,0
FRESHW_F,Freshwater Fish,FIN,Finland,12
FISH_TOT,Fish,FRA,France,15
MARINE_F,Marine Fish,FRA,France,0
FRESHW_F,Freshwater Fish,FRA,France,15
FISH_TOT,Fish,DEU,Germany,49
MARINE_F,Marine Fish,DEU,Germany,21
FRESHW_F,Freshwater Fish,DEU,Germany,28
FISH_TOT,Fish,GRC,Greece,63
MARINE_F,Marine Fish,GRC,Greece,14
FRESHW_F,Freshwater Fish,GRC,Greece,49
FISH_TOT,Fish,HUN,Hungary,35
MARINE_F,Marine Fish,HUN,Hungary,0
FRESHW_F,Freshwater Fish,HUN,Hungary,35
FISH_TOT,Fish,IRL,Ireland,22
MARINE_F,Marine Fish,IRL,Ireland,17
FRESHW_F,Freshwater Fish,IRL,Ireland,5
FISH_TOT,Fish,ITA,Italy,39
MARINE_F,Marine Fish,ITA,Italy,14
FRESHW_F,Freshwater Fish,ITA,Italy,25
FISH_TOT,Fish,JPN,Japan,167
MARINE_F,Marine Fish,JPN,Japan,0
FRESHW_F,Freshwater Fish,JPN,Japan,167
FISH_TOT,Fish,KOR,Korea,26
MARINE_F,Marine Fish,KOR,Korea,0
FRESHW_F,Freshwater Fish,KOR,Korea,26
FISH_TOT,Fish,LVA,Latvia,2
MARINE_F,Marine Fish,LVA,Latvia,1
FRESHW_F,Freshwater Fish,LVA,Latvia,1
FISH_TOT,Fish,LUX,Luxembourg,12
MARINE_F,Marine Fish,LUX,Luxembourg,0
FRESHW_F,Freshwater Fish,LUX,Luxembourg,12
FISH_TOT,Fish,MEX,Mexico,174
MARINE_F,Marine Fish,MEX,Mexico,24
FRESHW_F,Freshwater Fish,MEX,Mexico,150
FISH_TOT,Fish,NLD,Netherlands,23
MARINE_F,Marine Fish,NLD,Netherlands,10
FRESHW_F,Freshwater Fish,NLD,Netherlands,13
FISH_TOT,Fish,NZL,New Zealand,21
MARINE_F,Marine Fish,NZL,New Zealand,0
FRESHW_F,Freshwater Fish,NZL,New Zealand,21
FISH_TOT,Fish,NOR,Norway,7
MARINE_F,Marine Fish,NOR,Norway,7
FRESHW_F,Freshwater Fish,NOR,Norway,0
FISH_TOT,Fish,POL,Poland,29
MARINE_F,Marine Fish,POL,Poland,9
FRESHW_F,Freshwater Fish,POL,Poland,20
FISH_TOT,Fish,PRT,Portugal,22
MARINE_F,Marine Fish,PRT,Portugal,18
FRESHW_F,Freshwater Fish,PRT,Portugal,4
FISH_TOT,Fish,SVK,Slovak Republic,12
MARINE_F,Marine Fish,SVK,Slovak Republic,0
FRESHW_F,Freshwater Fish,SVK,Slovak Republic,12
FISH_TOT,Fish,SVN,Slovenia,50
MARINE_F,Marine Fish,SVN,Slovenia,10
FRESHW_F,Freshwater Fish,SVN,Slovenia,40
FISH_TOT,Fish,ESP,Spain,55
MARINE_F,Marine Fish,ESP,Spain,0
FRESHW_F,Freshwater Fish,ESP,Spain,55
FISH_TOT,Fish,SWE,Sweden,20
MARINE_F,Marine Fish,SWE,Sweden,19
FRESHW_F,Freshwater Fish,SWE,Sweden,2
FISH_TOT,Fish,CHE,Switzerland,24
MARINE_F,Marine Fish,CHE,Switzerland,0
FRESHW_F,Freshwater Fish,CHE,Switzerland,24
FISH_TOT,Fish,GBR,United Kingdom,4
MARINE_F,Marine Fish,GBR,United Kingdom,0
FRESHW_F,Freshwater Fish,GBR,United Kingdom,4
FISH_TOT,Fish,USA,United States,280
MARINE_F,Marine Fish,USA,United States,0
FRESHW_F,Freshwater Fish,USA,United States,280
FISH_TOT,Fish,BRA,Brazil,409
MARINE_F,Marine Fish,BRA,Brazil,98
FRESHW_F,Freshwater Fish,BRA,Brazil,311
FISH_TOT,Fish,COL,Colombia,81
MARINE_F,Marine Fish,COL,Colombia,56
FRESHW_F,Freshwater Fish,COL,Colombia,109
FISH_TOT,Fish,CRI,Costa Rica,5
MARINE_F,Marine Fish,CRI,Costa Rica,4
FRESHW_F,Freshwater Fish,CRI,Costa Rica,1
FISH_TOT,Fish,LTU,Lithuania,1
MARINE_F,Marine Fish,LTU,Lithuania,1
FRESHW_F,Freshwater Fish,LTU,Lithuania,0
FISH_TOT,Fish,CHL,Chile,38
MARINE_F,Marine Fish,CHL,Chile,1
FRESHW_F,Freshwater Fish,CHL,Chile,37
FISH_TOT,Fish,RUS,Russia,34
MARINE_F,Marine Fish,RUS,Russia,0
FRESHW_F,Freshwater Fish,RUS,Russia,34
