Country,Fish,Marine Fish,Freshwater Fish
Australia,48,13,35
Austria,39,0,39
Belgium,29,14,15
Canada,88,52,36
Czech Republic,27,0,27
Denmark,8,0,8
Estonia,6,2,5
Finland,12,0,12
France,15,0,15
Germany,49,21,28
Greece,63,14,49
Hungary,35,0,35
Ireland,22,17,5
Italy,39,14,25
Japan,167,0,167
Korea,26,0,26
Latvia,2,1,1
Luxembourg,12,0,12
Mexico,174,24,150
Netherlands,23,10,13
New Zealand,21,0,21
Norway,7,7,0
Poland,29,9,20
Portugal,22,18,4
Slovak Republic,12,0,12
Slovenia,50,10,40
Spain,55,0,55
Sweden,20,19,2
Switzerland,24,0,24
United Kingdom,4,0,4
United States,280,0,280
Brazil,409,98,311
Colombia,81,56,109
Costa Rica,5,4,1
Lithuania,1,1,0
Chile,38,1,37
Russia,34,0,34
